	Hours	Accuracy	Precision	Recall	F-measure	AUC
0	0.0	0.870578512397	0.858140272929	0.889473684211	0.873526086254	0.932921511628
22.0	0.766216216216	0.753213367609	0.791891891892	0.772068511199	0.835583455077
26.0	0.765441176471	0.754583921016	0.786764705882	0.77033837293	0.841501946367
24.0	0.743571428571	0.731972789116	0.768571428571	0.749825783972	0.827173469388
20.0	0.785714285714	0.774314214464	0.806493506494	0.790076335878	0.86092595716
18.0	0.790683229814	0.772093023256	0.824844720497	0.797597597598	0.86879055592
16.0	0.8	0.786740331492	0.823121387283	0.804519774011	0.861455444552
14.0	0.796256684492	0.787941787942	0.810695187166	0.799156562994	0.876493465641
11.0	0.807305936073	0.783966244726	0.848401826484	0.814912280702	0.883189257939
12.0	0.808173076923	0.799253034547	0.823076923077	0.810990052108	0.88474620932
9.0	0.819433198381	0.804633204633	0.843724696356	0.82371541502	0.893579963612
10.0	0.814224137931	0.818340611354	0.80775862069	0.813015184382	0.89048156956
8.0	0.821641791045	0.818786982249	0.826119402985	0.822436849926	0.890957897082
7.0	0.830240549828	0.825321597833	0.837800687285	0.831514324693	0.898687781202
6.0	0.833333333333	0.821601941748	0.851572327044	0.836318715256	0.90784324196
5.0	0.852873563218	0.841870824053	0.868965517241	0.85520361991	0.918075042938
4.0	0.859949622166	0.852491366552	0.870528967254	0.861415752742	0.9276894086
28.0	0.764615384615	0.754437869822	0.784615384615	0.769230769231	0.836456804734
3.5	0.867605633803	0.849241748439	0.893896713615	0.870997255261	0.931294937072
30.0	0.757480314961	0.746606334842	0.779527559055	0.762711864407	0.837023994048
3.0	0.868817204301	0.861661746099	0.878709677419	0.870102214651	0.935410336455
2.5	0.87109375	0.85930408472	0.8875	0.873174481168	0.942019271851
2.0	0.879753521127	0.857474312231	0.910915492958	0.883387399693	0.948586527971
1.5	0.886212624585	0.871868062163	0.907260726073	0.889212356461	0.951465832202
1.0	0.885028949545	0.87092692186	0.905592105263	0.887921303016	0.95227805631
0.5	0.898428453267	0.891542930923	0.908552631579	0.899967416096	0.962008166214
0.0	0.910743801653	0.911184210526	0.911184210526	0.911184210526	0.96883535146
24.0	0.761428571429	0.755586592179	0.772857142857	0.764124293785	0.843443877551
18.0	0.8	0.792727272727	0.812422360248	0.80245398773	0.869968751206
22.0	0.771621621622	0.765171503958	0.783783783784	0.774365821095	0.852589481373
20.0	0.788311688312	0.774752475248	0.812987012987	0.793409378961	0.869552201046
26.0	0.780147058824	0.777292576419	0.785294117647	0.781272860278	0.850507136678
16.0	0.79710982659	0.80023364486	0.791907514451	0.796048808832	0.875407130208
14.0	0.803743315508	0.793995859213	0.820320855615	0.806943713835	0.880447825217
12.0	0.805288461538	0.797006548176	0.819230769231	0.807965860597	0.884106878698
11.0	0.817808219178	0.808510638298	0.832876712329	0.820512820513	0.885785117074
10.0	0.815948275862	0.809282700422	0.826724137931	0.817910447761	0.896720050535
8.0	0.833208955224	0.827106227106	0.842537313433	0.834750462107	0.902732512809
9.0	0.824291497976	0.823767178658	0.825101214575	0.824433656958	0.895349538593
7.0	0.844673539519	0.835451505017	0.858419243986	0.846779661017	0.911060804667
6.0	0.841194968553	0.830994508847	0.856603773585	0.843604831217	0.911956805506
5.0	0.848275862069	0.847876004592	0.848850574713	0.848363009765	0.915202635751
4.0	0.858690176322	0.839694656489	0.886649874055	0.862533692722	0.923912466928
3.5	0.860798122066	0.852038479157	0.87323943662	0.862508694644	0.930554453481
28.0	0.777692307692	0.774733637747	0.783076923077	0.778882938026	0.855398816568
30.0	0.767716535433	0.747813411079	0.807874015748	0.776684330053	0.842741645483
2.5	0.8759765625	0.863894139887	0.892578125	0.87800192123	0.943396606445
3.0	0.878709677419	0.866722199084	0.895053763441	0.88066017774	0.939094184299
2.0	0.876408450704	0.862372881356	0.895774647887	0.878756476684	0.946096260663
1.5	0.88803986711	0.884967320261	0.893729372937	0.889326765189	0.9513369648
1.0	0.889330024814	0.881803542673	0.900657894737	0.891131000814	0.955422596112
0.5	0.90306038048	0.891512444161	0.919078947368	0.905085843861	0.962769397495
0.0	0.912561983471	0.904087544255	0.924013157895	0.913941760208	0.969982569068
